"Артикул";"Цена_Закупочная"
"720081";"19"
"720082";"21"
"720083";"21"
"720084";"20"
"720085";"20"
"720086";"16"
"720087";"16"
"720088";"67"
"720089";"27"
"720090";"27"
"720091";"43"
"720092";"43"
"720093";"43"
"720094";"71"
"720095";"16"
"720096";"28"
"720097";"45"
"720098";"45"
"720099";"57"
"720100";"153"
"720101";"134"
"720102";"134"
"720103";"94"
"720104";"145"
"720105";"145"
"720106";"111"
"720107";"111"
"720108";"135"
"720109";"135"
"720110";"116"
"720111";"601"
"720112";"286"
"720113";"326"
"720114";"175"
"720115";"88"
"710100";"86"
"710101";"95"
"710102";"125"
"710103";"182"
"710104";"183"
"710105";"237"
"710106"
"710107"
"710108"
"710109";"590"
"710110";"590"
"710111"
"710112";"96"
"710113";"288"
"710114";"288"
"710115";"288"
"710116";"291"
"710117";"329"
"710118";"329"
"710119";"348"
"710120"
"710121";"977"
"710122"
"710123"
"710124";"1050"
"710125";"1050"
"710126";"1050"
"710127";"1050"
"710128"
"710129"
"710130"
"710131";"1119"
"710132"
"710133";"1119"
"710134";"1154"
"710135";"1120"
"710136";"1165"
"710137";"1165"
"710138";"1165"
"710139";"1165"
"710140";"1165"
"710141";"1166"
"710142";"1166"
"710143";"1157"
"710144";"1159"
"710145";"1159"
"710146";"1159"
"710147";"1196"
"710148";"1198"
"710149";"1199"
"710150";"1199"
"710151";"1199"
"710152";"1199"
"710153";"1199"
"710154";"1204"
"710155";"1204"
"710156";"1204"
"710157";"1204"
"710158";"1204"
"710159";"1204"
"710160";"1204"
"710161";"1204"
"710162";"1204"
"710163";"1204"
"710164";"1248"
"710165";"1248"
"710166";"1249"
"710167";"1213"
"710168";"1213"
"710169";"1213"
"710170"
"710171"
"710172"
"710173"
"710174";"1247"
"710175";"1247"
"710176";"1247"
"710177";"1288"
"710178";"1289"
"710179";"1275"
"710180";"1348"
"710181";"1348"
"710182";"1348"
"710183";"1349"
"710184";"1312"
"710185";"1312"
"710186";"1312"
"710187";"1312"
"710188";"1159"
"710189";"1359"
"710190";"1359"
"710191";"1359"
"710192";"1359"
"710193";"1399"
"710194";"1358"
"710195";"1358"
"710196";"1358"
"710197";"1358"
"710198";"1358"
"710199";"1358"
"710200";"1358"
"710201";"1358"
"710202";"1358"
"710203";"1363"
"710204";"1363"
